date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:41:01	1306/1306	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2015:51:31%20GMT	https://xploudshop.com/wp-content/plugins/secure-copy-content-protection/public/css/secure-copy-content-protection-public.css?ver=3.1.0	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/secure-copy-content-protection/public/css/secure-copy-content-protection-public324d.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:01	20382/20382	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Aug%202023%2021:43:03%20GMT	https://xploudshop.com/wp-content/plugins/slicewp/assets/css/style-front-end.css?ver=1.0.96	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/slicewp/assets/css/style-front-endfda8.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:02	2612/2612	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Feb%202024%2018:25:52%20GMT	https://xploudshop.com/wp-content/plugins/woocommerce-mercadopago/assets/css/global.min.css?ver=6.9.3	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/woocommerce-mercadopago/assets/css/global.mindf53.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:02	51/51	---MC-	302	error ('Found')	text/plain	date:Thu,%2009%20Jan%202025%2007:41:06%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css?ver=6.6.2	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/unpkg.com/swiper/swiper-bundle.min.a109c.delayed	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:02	58/58	---MC-	302	error ('Found')	text/plain	date:Thu,%2009%20Jan%202025%2007:41:06%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/unpkg.com/swiper/swiper-bundle.min.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:02	18455/18455	---MCZ	200	added ('OK')	text/css	etag:W/%224817-Lqcg211ETnzobmGIQlKjm4kp5BY%22	https://unpkg.com/swiper@11.2.0/swiper-bundle.min.css	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/unpkg.com/swiper@11.2.0/swiper-bundle.min.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:03	21967/21967	---MCZ	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202023%2022:44:23%20GMT	https://xploudshop.com/wp-content/plugins/jetwoo-widgets-for-elementor/assets/css/jet-woo-widgets.css?ver=1.1.4	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/jetwoo-widgets-for-elementor/assets/css/jet-woo-widgets8daf.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:03	60705/60705	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202024%2003:35:19%20GMT	https://xploudshop.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.5	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/elementor/assets/css/frontend.minf9f0.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:03	254/254	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202024%2003:35:19%20GMT	https://xploudshop.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.24.5	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/elementor/assets/css/widget-image.minf9f0.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
04:41:03	704/704	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202024%2003:35:19%20GMT	https://xploudshop.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.24.5	C:/Users/Paulo/Desktop/cortador%20de%20legumes/projeto/xploudshop.com/wp-content/plugins/elementor/assets/css/widget-text-editor.minf9f0.css	(from https://xploudshop.com/products/cortador-de-alimentos-5x1-multifuncional/?attribute_cor=Laranja&utm_source=Bing%20Shopping&utm_campaign=Bing%20Ads&utm_medium=cpc&utm_term=374383&msclkid=1fb157e62fe8121cac36309954e29065)
